simulation,tracer sample,redshift,mass Msol/h,Halo mass function,error
midres,subhalos,0.25,1.65382E+15,1.33E-08,3.68E-09
midres,subhalos,0.25,1.85741E+15,7.15E-09,2.70E-09
midres,subhalos,0.25,2.08606E+15,2.04E-09,1.44E-09
midres,subhalos,0.25,2.34287E+15,2.04E-09,1.44E-09
midres,subhalos,0.25,2.63129E+15,0,0
midres,subhalos,0.25,2.95521E+15,0,0
midres,subhalos,0.25,3.31901E+15,0,0
midres,subhalos,0.25,3.72759E+15,0,0
midres,subhalos,0.25,4.18648E+15,0,0
midres,subhalos,0.25,4.70185E+15,0,0
midres,subhalos,0.25,5.28067E+15,0,0
midres,subhalos,0.25,5.93074E+15,0,0
midres,subhalos,0.25,6.66085E+15,0,0
midres,subhalos,0.25,7.48083E+15,0,0
midres,subhalos,0.25,8.40175E+15,0,0
midres,subhalos,0.25,9.43604E+15,0,0
midres,subhalos,0.29,10597662487,2.25E-07,1.51E-08
midres,subhalos,0.29,11902282448,2.03E-07,1.44E-08
midres,subhalos,0.29,13367506999,2.43E-07,1.58E-08
midres,subhalos,0.29,15013107289,2.58E-07,1.62E-08
midres,subhalos,0.29,16861288383,2.80E-07,1.69E-08
midres,subhalos,0.29,18936988890,2.61E-07,1.63E-08
midres,subhalos,0.29,21268217473,4.51E-07,2.15E-08
midres,subhalos,0.29,23886430790,1.20E-06,3.50E-08
midres,subhalos,0.29,26826957953,1.14E-06,3.42E-08
midres,subhalos,0.29,30129477247,1.13E-06,3.39E-08
midres,subhalos,0.29,33838551534,1.53E-06,3.95E-08
midres,subhalos,0.29,38004229564,2.42E-06,4.97E-08
midres,subhalos,0.29,42682721312,2.35E-06,4.90E-08
midres,subhalos,0.29,47937156456,2.78E-06,5.33E-08
midres,subhalos,0.29,53838436220,3.11E-06,5.63E-08
midres,subhalos,0.29,60466190091,3.62E-06,6.08E-08
midres,subhalos,0.29,67909850300,3.75E-06,6.19E-08
midres,subhalos,0.29,76269858590,4.36E-06,6.68E-08
midres,subhalos,0.29,85659021537,4.98E-06,7.13E-08
midres,subhalos,0.29,96204032711,5.53E-06,7.51E-08
midres,subhalos,0.29,1.08047E+11,6.25E-06,7.99E-08
