simulation,tracer sample,redshift,mass Msol/h,Halo mass function,error
highres,subhalos,0.29,1.03946E+15,7.57E-08,7.57E-08
highres,subhalos,0.29,1.16742E+15,0,0
highres,subhalos,0.29,1.31113E+15,0,0
highres,subhalos,0.29,1.47254E+15,7.57E-08,7.57E-08
highres,subhalos,0.29,1.65382E+15,0,0
highres,subhalos,0.29,1.85741E+15,0,0
highres,subhalos,0.29,2.08606E+15,0,0
highres,subhalos,0.29,2.34287E+15,0,0
highres,subhalos,0.29,2.63129E+15,0,0
highres,subhalos,0.29,2.95521E+15,0,0
highres,subhalos,0.29,3.31901E+15,0,0
highres,subhalos,0.29,3.72759E+15,0,0
highres,subhalos,0.29,4.18648E+15,0,0
highres,subhalos,0.29,4.70185E+15,0,0
highres,subhalos,0.29,5.28067E+15,0,0
highres,subhalos,0.29,5.93074E+15,0,0
highres,subhalos,0.29,6.66085E+15,0,0
highres,subhalos,0.29,7.48083E+15,0,0
highres,subhalos,0.29,8.40175E+15,0,0
highres,subhalos,0.29,9.43604E+15,0,0
highres,subhalos,0.47,10597662487,0.001908931,1.20E-05
highres,subhalos,0.47,11902282448,0.002176837,1.28E-05
highres,subhalos,0.47,13367506999,0.010028868,2.75E-05
highres,subhalos,0.47,15013107289,0.027312445,4.55E-05
highres,subhalos,0.47,16861288383,0.024052865,4.27E-05
highres,subhalos,0.47,18936988890,0.03969292,5.48E-05
highres,subhalos,0.47,21268217473,0.046946268,5.96E-05
highres,subhalos,0.47,23886430790,0.124017649,9.69E-05
highres,subhalos,0.47,26826957953,0.166458549,0.000112223
highres,subhalos,0.47,30129477247,0.14914539,0.000106226
highres,subhalos,0.47,33838551534,0.132456788,0.000100107
highres,subhalos,0.47,38004229564,0.120807171,9.56E-05
highres,subhalos,0.47,42682721312,0.109456404,9.10E-05
highres,subhalos,0.47,47937156456,0.099945189,8.70E-05
highres,subhalos,0.47,53838436220,0.088882528,8.20E-05
highres,subhalos,0.47,60466190091,0.080674601,7.81E-05
highres,subhalos,0.47,67909850300,0.072478931,7.41E-05
highres,subhalos,0.47,76269858590,0.066335034,7.08E-05
highres,subhalos,0.47,85659021537,0.06283592,6.89E-05
highres,subhalos,0.47,96204032711,0.062096134,6.85E-05
highres,subhalos,0.47,1.08047E+11,0.062459974,6.87E-05
highres,subhalos,0.47,1.21348E+11,0.061067713,6.80E-05
highres,subhalos,0.47,1.36287E+11,0.056400663,6.53E-05
highres,subhalos,0.47,1.53064E+11,0.0502663,6.17E-05
highres,subhalos,0.47,1.71907E+11,0.044021626,5.77E-05
highres,subhalos,0.47,1.9307E+11,0.038361034,5.39E-05
highres,subhalos,0.47,2.16838E+11,0.033524132,5.04E-05
highres,subhalos,0.47,2.43531E+11,0.029408328,4.72E-05
highres,subhalos,0.47,2.73511E+11,0.026163803,4.45E-05
highres,subhalos,0.47,3.07181E+11,0.023868032,4.25E-05
highres,subhalos,0.47,3.44997E+11,0.02212048,4.09E-05
highres,subhalos,0.47,3.87468E+11,0.02022267,3.91E-05
highres,subhalos,0.47,4.35167E+11,0.017856613,3.68E-05
highres,subhalos,0.47,4.88737E+11,0.015652236,3.44E-05
highres,subhalos,0.47,5.48903E+11,0.013646992,3.21E-05
highres,subhalos,0.47,6.16476E+11,0.011831953,2.99E-05
highres,subhalos,0.47,6.92367E+11,0.010293217,2.79E-05
highres,subhalos,0.47,7.776E+11,0.008944005,2.60E-05
highres,subhalos,0.47,8.73326E+11,0.007771682,2.42E-05
highres,subhalos,0.47,9.80837E+11,0.006798491,2.27E-05
highres,subhalos,0.47,1.10158E+12,0.005902623,2.11E-05
highres,subhalos,0.47,1.23719E+12,0.005211939,1.99E-05
highres,subhalos,0.47,1.3895E+12,0.004543802,1.85E-05
highres,subhalos,0.47,1.56055E+12,0.003950113,1.73E-05
highres,subhalos,0.47,1.75266E+12,0.003516289,1.63E-05
highres,subhalos,0.47,1.96842E+12,0.003083524,1.53E-05
highres,subhalos,0.47,2.21074E+12,0.00271295,1.43E-05
highres,subhalos,0.47,2.48289E+12,0.002376877,1.34E-05
highres,subhalos,0.47,2.78855E+12,0.002079389,1.25E-05
highres,subhalos,0.47,3.13183E+12,0.001872691,1.19E-05
highres,subhalos,0.47,3.51737E+12,0.001643674,1.12E-05
